Order_ID,Date,Product,Category,City,Quantity,Unit_Price,Sales
1001,2026-01-05,Laptop,Electronics,Bhubaneswar,1,75000,75000
1002,2026-01-07,Phone,Electronics,Cuttack,2,22500,45000
1003,2026-01-12,Tablet,Electronics,Bhubaneswar,3,10000,30000
1004,2026-01-18,Monitor,Electronics,Puri,1,25000,25000
1005,2026-02-02,Keyboard,Accessories,Cuttack,2,6000,12000
1006,2026-02-10,Mouse,Accessories,Bhubaneswar,4,2000,8000
1007,2026-02-15,Laptop,Electronics,Cuttack,1,75000,75000
1008,2026-02-21,Phone,Electronics,Puri,1,22500,22500
1009,2026-03-03,Tablet,Electronics,Cuttack,2,10000,20000
1010,2026-03-08,Monitor,Electronics,Bhubaneswar,2,25000,50000
1011,2026-03-15,Keyboard,Accessories,Bhubaneswar,3,6000,18000
1012,2026-03-20,Mouse,Accessories,Puri,5,2000,10000
1013,2026-04-02,Laptop,Electronics,Bhubaneswar,1,75000,75000
1014,2026-04-10,Phone,Electronics,Cuttack,3,22500,67500
1015,2026-04-18,Tablet,Electronics,Puri,1,10000,10000
1016,2026-04-25,Keyboard,Accessories,Cuttack,4,6000,24000
1017,2026-05-05,Mouse,Accessories,Bhubaneswar,6,2000,12000
1018,2026-05-12,Monitor,Electronics,Cuttack,1,25000,25000
1019,2026-05-20,Laptop,Electronics,Puri,1,75000,75000
1020,2026-05-28,Phone,Electronics,Bhubaneswar,2,22500,45000
